cluster,cluster_name,institution_name,institution_code,body_type,link,province,campus_accreditation,banpt_code,rank,institution_code,student_amount,lecturer_amount,average_semester_fee,starting_semester_fee,ending_semester_fee,average_yearly_fee,starting_yearly_fee,ending_yearly_fee
4,Perguruan Tinggi Premium & Prestisius,LONDON SCHOOL OF PUBLIC RELATIONS,1,SWASTA,https://rencanamu.id/cari-kampus/london-school-of-public-relations,DKI JAKARTA,A,-,,1,-1.0,-1.0,26250000.0,26250000.0,210000000.0,52500000.0,52500000.0,210000000.0
4,Perguruan Tinggi Premium & Prestisius,PRESIDENT UNIVERSITY,2,SWASTA,https://rencanamu.id/cari-kampus/president-university,JAWA BARAT,A,-,,2,3910.0,3910.0,18000000.0,18000000.0,144000000.0,36000000.0,36000000.0,144000000.0
4,Perguruan Tinggi Premium & Prestisius,BINUS UNIVERSITY,3,SWASTA,https://rencanamu.id/cari-kampus/binus-university,DKI JAKARTA,A,-,,3,42305.0,42305.0,17650000.0,17650000.0,141200000.0,35300000.0,35300000.0,141200000.0
4,Perguruan Tinggi Premium & Prestisius,UNIVERSITAS CIPUTRA,4,SWASTA,https://rencanamu.id/cari-kampus/universitas-ciputra,JAWA TIMUR,A,-,126,4,3818.0,3818.0,13600000.0,13600000.0,108800000.0,27200000.0,27200000.0,108800000.0
4,Perguruan Tinggi Premium & Prestisius,TRISAKTI SCHOOL OF MANAGEMENT,5,SWASTA,https://rencanamu.id/cari-kampus/trisakti-school-of-management,DKI JAKARTA,A,-,,5,3533.0,3533.0,13250000.0,13250000.0,106000000.0,26500000.0,26500000.0,106000000.0
4,Perguruan Tinggi Premium & Prestisius,TELKOM UNIVERSITY,6,SWASTA,https://rencanamu.id/cari-kampus/telkom-university,JAWA BARAT,A,-,,6,18425.0,18425.0,11000000.0,11000000.0,88000000.0,22000000.0,22000000.0,88000000.0
4,Perguruan Tinggi Premium & Prestisius,UNIVERSITAS PELITA HARAPAN SURABAYA,7,SWASTA,https://rencanamu.id/cari-kampus/universitas-pelita-harapan-surabaya,JAWA TIMUR,C,-,,7,416.0,416.0,9875000.0,9875000.0,79000000.0,19750000.0,19750000.0,79000000.0
4,Perguruan Tinggi Premium & Prestisius,INSTITUT TEKNOLOGI NASIONAL,8,SWASTA,https://rencanamu.id/cari-kampus/institut-teknologi-nasional,JAWA BARAT,B,-,111,8,7025.0,7025.0,8362500.0,8362500.0,66900000.0,16725000.0,16725000.0,66900000.0
4,Perguruan Tinggi Premium & Prestisius,UNIVERSITAS SAHID JAKARTA,9,SWASTA,https://rencanamu.id/cari-kampus/universitas-sahid-jakarta,DKI JAKARTA,B,-,,9,4056.0,4056.0,7250000.0,7250000.0,58000000.0,14500000.0,14500000.0,58000000.0
4,Perguruan Tinggi Premium & Prestisius,UNIVERSITAS GAJAYANA MALANG,10,SWASTA,https://rencanamu.id/cari-kampus/universitas-gajayana-malang,JAWA TIMUR,B,-,481,10,1476.0,1476.0,4250000.0,4250000.0,34000000.0,8500000.0,8500000.0,34000000.0
4,Perguruan Tinggi Premium & Prestisius,UNIVERSITAS MUSLIM NUSANTARA AL,11,SWASTA,https://rencanamu.id/cari-kampus/universitas-muslim-nusantara-al-wasliyah,SUMATERA UTARA,B,-,,11,7954.0,7954.0,4000000.0,4000000.0,32000000.0,8000000.0,8000000.0,32000000.0
4,Perguruan Tinggi Premium & Prestisius,UNIVERSITAS MUSLIM INDONESIA MAKASSAR,12,SWASTA,https://rencanamu.id/cari-kampus/universitas-muslim-indonesia-makassar,SULAWESI SELATAN,A,-,,12,18828.0,18828.0,3975000.0,3975000.0,31800000.0,7950000.0,7950000.0,31800000.0
4,Perguruan Tinggi Premium & Prestisius,UNIVERSITAS PEMBANGUNAN JAYA TANGERANG,13,SWASTA,https://rencanamu.id/cari-kampus/universitas-pembangunan-jaya-tangerang,BANTEN,B,-,,13,2528.0,2528.0,3750000.0,3750000.0,30000000.0,7500000.0,7500000.0,30000000.0
4,Perguruan Tinggi Premium & Prestisius,UNIVERSITAS ISLAM AS,14,SWASTA,https://rencanamu.id/cari-kampus/universitas-islam-as-syafi-iyah,DKI JAKARTA,C,-,,14,3191.0,3191.0,2925000.0,2925000.0,23400000.0,5850000.0,5850000.0,23400000.0
4,Perguruan Tinggi Premium & Prestisius,UNIVERSITAS DR. SOETOMO,15,SWASTA,https://rencanamu.id/cari-kampus/universitas-dr-soetomo,JAWA TIMUR,B,-,143,15,5054.0,5054.0,2550000.0,2550000.0,20400000.0,5100000.0,5100000.0,20400000.0
4,Perguruan Tinggi Premium & Prestisius,UNIVERSITAS BSI BANDUNG,16,SWASTA,https://rencanamu.id/cari-kampus/universitas-bsi-bandung,JAWA BARAT,B,-,,16,-1.0,-1.0,2075000.0,2075000.0,16600000.0,4150000.0,4150000.0,16600000.0
4,Perguruan Tinggi Premium & Prestisius,UNIVERSITAS AL MUSLIM,17,SWASTA,https://rencanamu.id/cari-kampus/universitas-al-muslim,ACEH,B,-,225,17,7278.0,7278.0,1100000.0,1100000.0,8800000.0,2200000.0,2200000.0,8800000.0
4,Perguruan Tinggi Premium & Prestisius,INSTITUT TEKNOLOGI DAN KESEHATAN MAHARDIKA,18,SWASTA,-,JAWA BARAT,BAIK SEKALI,banpt-2083,,18,-1.0,-1.0,4300000.0,3600000.0,5000000.0,8600000.0,7200000.0,10000000.0
4,Perguruan Tinggi Premium & Prestisius,UNIVERSITAS HKBP NOMMENSEN,19,SWASTA,https://campus.quipper.com/directory/universitas-hkbp-nommensen,SUMATERA UTARA,B,banpt-1044,167,19,14690.0,363.0,3500000.0,1000000.0,6000000.0,7000000.0,2000000.0,12000000.0
4,Perguruan Tinggi Premium & Prestisius,UNIVERSITAS NASIONAL PASIM,20,SWASTA,-,JAWA BARAT,BAIK,banpt-951,555,20,-1.0,-1.0,1800000.0,1400000.0,2200000.0,3600000.0,2800000.0,4400000.0
4,Perguruan Tinggi Premium & Prestisius,UNIVERSITAS CIPTA MANDIRI,21,SWASTA,-,ACEH,BAIK,banpt-922,,21,-1.0,-1.0,1900000.0,1900000.0,1900000.0,3800000.0,3800000.0,3800000.0
4,Perguruan Tinggi Premium & Prestisius,UNIVERSITAS DIAN NUSANTARA,22,SWASTA,-,D.K.I. JAKARTA,BAIK SEKALI,banpt-900,216,22,-1.0,-1.0,4200000.0,4200000.0,4200000.0,9400000.0,9400000.0,9400000.0
4,Perguruan Tinggi Premium & Prestisius,STIMI SAMARINDA,23,SWASTA,-,KALIMANTAN TIMUR,BAIK,banpt-3885,,23,-1.0,-1.0,2250000.0,2250000.0,2250000.0,4500000.0,4500000.0,4500000.0
4,Perguruan Tinggi Premium & Prestisius,UNIVERSITAS SATYAGAMA,24,SWASTA,https://campus.quipper.com/directory/universitas-satyagama,D.K.I. JAKARTA,BAIK,banpt-1230,533,24,4593.0,143.0,10800000.0,1600000.0,20000000.0,21600000.0,3200000.0,40000000.0
4,Perguruan Tinggi Premium & Prestisius,STMIK ADHI GUNA,25,SWASTA,-,SULAWESI TENGAH,BAIK,banpt-437,,25,-1.0,-1.0,3756000.0,3512000.0,4000000.0,7512000.0,7024000.0,8000000.0
4,Perguruan Tinggi Premium & Prestisius,UNIVERSITAS PASUNDAN,26,SWASTA,https://rencanamu.id/cari-kampus/universitas-pasundan,JAWA BARAT,A,banpt-2072,81,26,14385.0,14385.0,24125000.0,10750000.0,37500000.0,48250000.0,21500000.0,75000000.0
4,Perguruan Tinggi Premium & Prestisius,UNIVERSITAS BATURAJA,27,SWASTA,https://rencanamu.id/cari-kampus/universitas-baturaja,SUMATERA SELATAN,BAIK SEKALI,banpt-819,469,27,4975.0,4975.0,2400000.0,1900000.0,2900000.0,4800000.0,3800000.0,5800000.0
4,Perguruan Tinggi Premium & Prestisius,UNIVERSITAS BINA INSAN,28,SWASTA,-,SUMATERA SELATAN,BAIK,banpt-682,429,28,-1.0,-1.0,2310000.0,2020000.0,2600000.0,4620000.0,4040000.0,5200000.0
4,Perguruan Tinggi Premium & Prestisius,UNIVERSITAS RESPATI INDONESIA,29,SWASTA,https://campus.quipper.com/directory/universitas-respati-indonesia,D.K.I. JAKARTA,B,banpt-1755,355,29,2449.0,125.0,4800000.0,4800000.0,4800000.0,14400000.0,9600000.0,19200000.0
4,Perguruan Tinggi Premium & Prestisius,UNIVERSITAS MUHAMMADIYAH PURWOKERTO,30,SWASTA,https://rencanamu.id/cari-kampus/universitas-muhammadiyah-purwokerto,JAWA TENGAH,B,banpt-2401,116,30,6614.0,6614.0,10000000.0,5000000.0,15000000.0,91025000.0,2050000.0,180000000.0
1,Perguruan Tinggi Murah di Kota Besar,UNIVERSITAS PGRI PALEMBANG,31,SWASTA,https://rencanamu.id/cari-kampus/universitas-pgri-palembang,SUMATERA SELATAN,B,banpt-694,194,31,6838.0,6838.0,200987500.0,1975000.0,400000000.0,401975000.0,3950000.0,800000000.0
1,Perguruan Tinggi Murah di Kota Besar,UNIVERSITAS KATOLIK INDONESIA ATMA JAYA,32,SWASTA,https://rencanamu.id/cari-kampus/universitas-katolik-indonesia-atma-jaya,DKI JAKARTA,A,banpt-2378,99,32,6974.0,6974.0,24137500.0,6000000.0,42275000.0,289650000.0,72000000.0,507300000.0
1,Perguruan Tinggi Murah di Kota Besar,UNIVERSITAS PGRI PALANGKA RAYA,33,SWASTA,-,KALIMANTAN TENGAH,BAIK,banpt-1994,,33,-1.0,-1.0,143700000.0,2400000.0,285000000.0,287400000.0,4800000.0,570000000.0
1,Perguruan Tinggi Murah di Kota Besar,UNIVERSITAS KRISTEN SATYA WACANA,34,SWASTA,https://campus.quipper.com/directory/universitas-kristen-satya-wacana,JAWA TENGAH,A,banpt-2686,74,34,10706.0,461.0,138425000.0,5500000.0,276850000.0,276850001.0,11000000.0,553700000.0
1,Perguruan Tinggi Murah di Kota Besar,UNIVERSITAS YARSI,35,SWASTA,https://campus.quipper.com/directory/universitas-yarsi,D.K.I. JAKARTA,B,banpt-3251,169,35,5000.0,278.0,131125000.0,10000000.0,260000000.0,262250000.0,20000000.0,520000000.0
1,Perguruan Tinggi Murah di Kota Besar,SEKOLAH TINGGI ILMU HUKUM GUNUNG JATI,36,SWASTA,-,BANTEN,BAIK,banpt-2450,,36,-1.0,-1.0,125750000.0,1500000.0,250000000.0,251500000.0,3000000.0,500000000.0
2,Perguruan Tinggi Unggulan Akreditasi Tinggi,INSTITUT TEKNOLOGI HARAPAN BANGSA,37,SWASTA,https://rencanamu.id/cari-kampus/institut-teknologi-harapan-bangsa,JAWA BARAT,BAIK SEKALI,banpt-1774,,37,924.0,924.0,121700000.0,121700000.0,973600000.0,243400000.0,243400000.0,973600000.0
1,Perguruan Tinggi Murah di Kota Besar,SEKOLAH TINGGI ILMU EKONOMI PELITA BUANA,38,SWASTA,-,SULAWESI SELATAN,BAIK,banpt-1177,,38,-1.0,-1.0,121200027.0,2400000.0,240000055.0,242400055.0,4800000.0,480000110.0
1,Perguruan Tinggi Murah di Kota Besar,UNIVERSITAS KATOLIK WIDYA MANDALA SURABAYA,39,SWASTA,https://campus.quipper.com/directory/universitas-katolik-widya-mandala-surabaya,JAWA TIMUR,A,banpt-625,113,39,6012.0,419.0,117235300.0,6000000.0,234045600.0,234470600.0,12000000.0,468091200.0
4,Perguruan Tinggi Premium & Prestisius,UNIVERSITAS MUHAMMADIYAH PALEMBANG,40,SWASTA,https://rencanamu.id/cari-kampus/universitas-muhammadiyah-palembang,SUMATERA SELATAN,UNGGUL,banpt-236,213,40,3751.0,3751.0,19305000.0,3700000.0,34910000.0,38610000.0,7400000.0,69820000.0
1,Perguruan Tinggi Murah di Kota Besar,UNIVERSITAS ISLAM SULTAN AGUNG,41,SWASTA,https://rencanamu.id/cari-kampus/universitas-islam-sultan-agung,JAWA TENGAH,B,banpt-1883,67,41,11251.0,11251.0,100875000.0,5100000.0,201750000.0,201750001.0,10200000.0,403500000.0
1,Perguruan Tinggi Murah di Kota Besar,UNIVERSITAS TRISAKTI,42,SWASTA,https://rencanamu.id/cari-kampus/universitas-trisakti,D.K.I. JAKARTA,A,banpt-1521,92,42,17343.0,17343.0,84225000.0,12000000.0,165700000.0,168450000.0,24000000.0,331400000.0
1,Perguruan Tinggi Murah di Kota Besar,UNIVERSITAS BOSOWA,43,SWASTA,-,SULAWESI SELATAN,BAIK SEKALI,banpt-3889,347,43,-1.0,-1.0,84125000.0,250000.0,168000000.0,168250000.0,500000.0,336000000.0
1,Perguruan Tinggi Murah di Kota Besar,UNIVERSITAS HANG TUAH,44,SWASTA,https://campus.quipper.com/directory/universitas-hang-tuah,JAWA TIMUR,B,banpt-1867,229,44,5376.0,327.0,73450000.0,5000000.0,146800000.0,146900000.0,10000000.0,293600000.0
1,Perguruan Tinggi Murah di Kota Besar,UNIVERSITAS MUHAMMADIYAH SURABAYA,45,SWASTA,https://campus.quipper.com/directory/universitas-muhammadiyah-surabaya,JAWA TIMUR,UNGGUL,banpt-965,75,45,7074.0,355.0,71100000.0,4700000.0,142000000.0,142200000.0,9400000.0,284000000.0
